Year-Month,New Mexico,Louisiana,West Virginia,Mississippi,Oregon,Alabama,Oklahoma,Georgia,Florida,Illinois,New Jersey,Idaho,Nebraska,Colorado,Minnesota,Kansas,North Dakota,New Hampshire,Utah,Wyoming
2016-01,127.54411764705883,1621.7761194029852,92.94444444444444,164.8507462686567,2011.1764705882354,1160.8970588235295,1094.2058823529412,1850.4264705882354,8394.426470588236,2022.1159420289855,1280.6760563380283,113.83823529411765,381.8732394366197,954.6323529411765,1964.4084507042253,192.5735294117647,53.88235294117647,137.56338028169014,1111.7941176470588,20.46875
2016-02,127.54411764705883,1621.7761194029852,32.0,164.8507462686567,2011.1764705882354,1160.8970588235295,1094.2058823529412,1850.4264705882354,8394.426470588236,2022.1159420289855,1280.6760563380283,113.83823529411765,381.8732394366197,954.6323529411765,1964.4084507042253,192.5735294117647,53.88235294117647,137.56338028169014,1111.7941176470588,20.46875
2016-03,127.54411764705883,1621.7761194029852,34.0,164.8507462686567,2011.1764705882354,1160.8970588235295,1094.2058823529412,1850.4264705882354,8394.426470588236,2022.1159420289855,165.0,113.83823529411765,152.0,954.6323529411765,3.0,192.5735294117647,53.88235294117647,1.0,1111.7941176470588,20.46875
2016-04,127.54411764705883,1621.7761194029852,32.0,164.8507462686567,2011.1764705882354,1160.8970588235295,1094.2058823529412,1850.4264705882354,8394.426470588236,1.0,521.0,113.83823529411765,547.0,954.6323529411765,4.0,192.5735294117647,53.88235294117647,21.0,1111.7941176470588,20.46875
2016-05,127.54411764705883,1621.7761194029852,13.0,164.8507462686567,2011.1764705882354,1160.8970588235295,1094.2058823529412,1850.4264705882354,8394.426470588236,2022.1159420289855,513.0,113.83823529411765,578.0,954.6323529411765,1.0,192.5735294117647,53.88235294117647,8.0,1111.7941176470588,20.46875
2016-06,6.0,43.0,41.0,26.0,43.0,18.0,14.0,780.0,1863.0,895.0,636.0,37.0,699.0,63.0,105.0,49.0,53.88235294117647,20.0,58.0,1.0
2016-07,24.0,132.0,80.0,55.0,111.0,21.0,41.0,1615.0,4990.0,2152.0,769.0,81.0,506.0,194.0,315.0,97.0,53.88235294117647,33.0,220.0,14.0
2016-08,20.0,202.0,36.0,88.0,127.0,21.0,96.0,1960.0,6281.0,2775.0,893.0,62.0,741.0,232.0,462.0,139.0,53.88235294117647,37.0,164.0,6.0
2016-09,20.0,116.0,28.0,60.0,146.0,15.0,97.0,2164.0,5617.0,2530.0,942.0,47.0,699.0,217.0,344.0,93.0,2.0,19.0,86.0,8.0
2016-10,22.0,95.0,32.0,55.0,193.0,23.0,90.0,2122.0,5324.0,2580.0,1028.0,49.0,702.0,217.0,413.0,122.0,53.88235294117647,29.0,148.0,10.0
2016-11,34.0,136.0,61.0,59.0,198.0,13.0,93.0,2312.0,6616.0,3046.0,1314.0,59.0,626.0,200.0,415.0,144.0,53.88235294117647,37.0,158.0,16.0
2016-12,27.0,117.0,39.0,59.0,203.0,24.0,120.0,2280.0,6317.0,2913.0,1162.0,83.0,559.0,199.0,499.0,118.0,1.0,110.0,132.0,14.0
2017-01,16.0,129.0,53.0,78.0,123.0,31.0,69.0,1940.0,5523.0,2380.0,1100.0,78.0,551.0,177.0,491.0,128.0,53.88235294117647,105.0,159.0,13.0
2017-02,16.0,120.0,62.0,65.0,129.0,13.0,85.0,1780.0,4936.0,2363.0,1150.0,56.0,536.0,133.0,224.0,89.0,53.88235294117647,171.0,93.0,22.0
2017-03,20.0,158.0,71.0,91.0,148.0,25.0,66.0,1949.0,6529.0,2462.0,1387.0,37.0,491.0,138.0,246.0,141.0,53.88235294117647,101.0,100.0,10.0
2017-04,29.0,127.0,51.0,77.0,122.0,26.0,89.0,1476.0,4235.0,2262.0,1016.0,24.0,510.0,167.0,295.0,118.0,53.88235294117647,92.0,62.0,4.0
2017-05,39.0,28.0,38.0,17.0,144.0,71.0,81.0,1518.0,3879.0,1971.0,1037.0,32.0,407.0,215.0,305.0,110.0,53.88235294117647,88.0,136.0,2.0
2017-06,50.0,1621.7761194029852,85.0,164.8507462686567,107.0,69.0,78.0,1597.0,4072.0,2338.0,1146.0,24.0,515.0,204.0,335.0,87.0,53.88235294117647,100.0,170.0,6.0
2017-07,58.0,322.0,94.0,8.0,210.0,138.0,265.0,1610.0,3247.0,1722.0,950.0,34.0,410.0,253.0,538.0,131.0,53.88235294117647,112.0,232.0,9.0
2017-08,169.0,2829.0,48.0,152.0,842.0,664.0,1783.0,2051.0,6625.0,1820.0,1271.0,33.0,536.0,1211.0,1629.0,262.0,2.0,288.0,810.0,12.0
2017-09,173.0,2815.0,52.0,147.0,781.0,522.0,1957.0,1928.0,4705.0,1707.0,1146.0,16.0,507.0,1180.0,1490.0,164.0,1.0,245.0,910.0,9.0
2017-10,204.0,2472.0,52.0,101.0,1423.0,385.0,1742.0,2202.0,5412.0,2241.0,1475.0,11.0,581.0,1285.0,1359.0,160.0,53.88235294117647,232.0,699.0,7.0
2017-11,179.0,1727.0,51.0,134.0,1228.0,334.0,1629.0,2008.0,5641.0,2058.0,1319.0,7.0,587.0,1067.0,1290.0,157.0,53.88235294117647,237.0,615.0,7.0
2017-12,186.0,1502.0,41.0,166.0,876.0,623.0,1891.0,1989.0,5573.0,1744.0,1104.0,10.0,571.0,1060.0,2225.0,189.0,1.0,264.0,644.0,11.0
2018-01,154.0,1519.0,44.0,198.0,756.0,761.0,1782.0,2022.0,5126.0,2309.0,1263.0,8.0,611.0,1141.0,2245.0,263.0,53.88235294117647,237.0,638.0,13.0
2018-02,197.0,1463.0,39.0,237.0,802.0,729.0,1560.0,1944.0,4914.0,2130.0,1251.0,30.0,553.0,1148.0,1866.0,209.0,1.0,262.0,949.0,13.0
2018-03,192.0,1890.0,40.0,197.0,804.0,1104.0,1721.0,2036.0,5555.0,1958.0,1482.0,45.0,428.0,1085.0,1543.0,226.0,53.88235294117647,182.0,603.0,15.0
2018-04,154.0,2097.0,62.0,192.0,607.0,1048.0,1716.0,1898.0,5484.0,1560.0,1237.0,31.0,444.0,955.0,1773.0,188.0,53.88235294117647,137.0,633.0,13.0
2018-05,217.0,2391.0,60.0,202.0,650.0,1112.0,1996.0,1787.0,5919.0,1810.0,1294.0,44.0,479.0,1227.0,1346.0,181.0,13.0,183.0,705.0,7.0
2018-06,160.0,1579.0,37.0,165.0,710.0,957.0,1464.0,1918.0,4881.0,1757.0,1323.0,31.0,336.0,1003.0,1405.0,136.0,53.88235294117647,242.0,651.0,14.0
2018-07,93.0,1318.0,46.0,172.0,631.0,766.0,1730.0,1830.0,4988.0,1844.0,1072.0,51.0,358.0,868.0,1362.0,137.0,2.0,167.0,563.0,10.0
2018-08,174.0,1763.0,14.0,210.0,3217.0,1164.0,1914.0,2397.0,6126.0,1964.0,913.0,43.0,521.0,1250.0,1673.0,195.0,1.0,195.0,719.0,7.0
2018-09,195.0,1654.0,58.0,245.0,3344.0,1351.0,1415.0,1841.0,4866.0,2174.0,1163.0,39.0,513.0,1287.0,1545.0,205.0,1.0,179.0,738.0,8.0
2018-10,195.0,1724.0,90.0,234.0,2926.0,1725.0,1747.0,2375.0,6738.0,2716.0,1301.0,40.0,634.0,1322.0,1680.0,236.0,53.88235294117647,202.0,892.0,11.0
2018-11,216.0,1554.0,105.0,237.0,3771.0,1714.0,1858.0,2332.0,5682.0,2248.0,1465.0,28.0,462.0,1530.0,1877.0,274.0,1.0,324.0,1457.0,69.0
2018-12,164.0,1463.0,74.0,246.0,4132.0,1646.0,1569.0,2197.0,5284.0,1499.0,1193.0,29.0,502.0,1302.0,1898.0,155.0,53.88235294117647,197.0,2590.0,16.0
2019-01,181.0,1526.0,49.0,214.0,3621.0,1591.0,1981.0,2418.0,5043.0,2056.0,1099.0,52.0,502.0,1749.0,2360.0,213.0,53.88235294117647,297.0,2358.0,32.0
2019-02,158.0,1454.0,70.0,220.0,5924.0,1528.0,1670.0,2259.0,4265.0,1682.0,1183.0,66.0,554.0,1303.0,2638.0,225.0,8.0,252.0,2172.0,20.0
2019-03,144.0,1649.0,27.0,175.0,3239.0,1802.0,1717.0,2033.0,4723.0,1518.0,1132.0,28.0,409.0,1330.0,1790.0,156.0,3.0,196.0,1924.0,5.0
2019-04,153.0,1652.0,50.0,175.0,2526.0,1750.0,2190.0,2194.0,5246.0,1663.0,1005.0,25.0,362.0,1489.0,1509.0,159.0,53.88235294117647,186.0,1794.0,7.0
2019-05,118.0,1654.0,51.0,149.0,2053.0,1627.0,2066.0,2346.0,5064.0,1774.0,1266.0,44.0,426.0,1655.0,1363.0,162.0,2.0,126.0,2085.0,8.0
2019-06,171.0,1486.0,38.0,128.0,2330.0,1582.0,1703.0,2022.0,5070.0,1535.0,1217.0,39.0,388.0,1427.0,1362.0,156.0,53.88235294117647,144.0,1899.0,3.0
2019-07,112.0,1534.0,58.0,132.0,3448.0,1499.0,1806.0,1640.0,5165.0,1361.0,1143.0,56.0,400.0,1448.0,1347.0,172.0,2.0,175.0,1849.0,5.0
2019-08,107.0,1845.0,28.0,146.0,3855.0,1362.0,1968.0,1911.0,5276.0,1420.0,1106.0,50.0,285.0,1559.0,1500.0,148.0,53.88235294117647,126.0,2340.0,4.0
2019-09,91.0,1975.0,32.0,121.0,3531.0,1452.0,1392.0,1394.0,4563.0,1266.0,964.0,39.0,252.0,1148.0,1434.0,155.0,53.88235294117647,116.0,1835.0,7.0
2019-10,122.0,1552.0,43.0,198.0,3578.0,1953.0,1390.0,2055.0,5777.0,1868.0,1096.0,64.0,381.0,1679.0,4397.0,166.0,2.0,178.0,2283.0,7.0
2019-11,129.0,1398.0,11.0,158.0,3178.0,1577.0,1388.0,1562.0,5206.0,1904.0,794.0,33.0,326.0,1548.0,3562.0,144.0,53.88235294117647,145.0,1875.0,5.0
2019-12,128.0,1238.0,11.0,166.0,3639.0,1484.0,1207.0,1836.0,4865.0,1885.0,1003.0,58.0,351.0,1255.0,6336.0,138.0,53.88235294117647,274.0,2274.0,8.0
2020-01,95.0,1380.0,35.0,169.0,4247.0,1645.0,1077.0,1594.0,5267.0,1818.0,1162.0,75.0,319.0,1232.0,6347.0,175.0,53.88235294117647,199.0,2169.0,4.0
2020-02,110.0,1293.0,17.0,142.0,3078.0,1417.0,1064.0,1643.0,5288.0,1636.0,2601.0,56.0,262.0,1505.0,3930.0,93.0,53.88235294117647,199.0,1838.0,20.46875
2020-03,69.0,1447.0,9.0,76.0,2811.0,1288.0,1259.0,1593.0,5601.0,1501.0,1086.0,43.0,205.0,1385.0,2148.0,127.0,53.88235294117647,134.0,1697.0,4.0
2020-04,35.0,1355.0,27.0,58.0,2456.0,951.0,1418.0,1535.0,5431.0,2196.0,1193.0,26.0,209.0,1629.0,2052.0,183.0,53.88235294117647,102.0,1196.0,4.0
2020-05,59.0,1406.0,8.0,89.0,3238.0,1328.0,1901.0,1689.0,5561.0,2585.0,1104.0,52.0,228.0,1343.0,2135.0,221.0,1.0,96.0,1489.0,2.0
2020-06,136.0,1702.0,8.0,87.0,3372.0,1583.0,1999.0,1797.0,6481.0,3507.0,1493.0,37.0,244.0,1838.0,2575.0,253.0,53.88235294117647,174.0,1889.0,2.0
2020-07,74.0,1145.0,4.0,103.0,240.0,1088.0,845.0,1063.0,3308.0,1074.0,354.0,2.0,133.0,621.0,760.0,110.0,53.88235294117647,78.0,464.0,1.0
2020-08,84.0,1096.0,14.0,96.0,282.0,1108.0,936.0,1051.0,3409.0,1161.0,447.0,3.0,135.0,590.0,694.0,73.0,53.88235294117647,97.0,440.0,3.0
2020-09,99.0,2067.0,81.0,175.0,1596.0,1530.0,845.0,1900.0,12442.0,1602.0,1263.0,120.0,155.0,736.0,1691.0,189.0,2.0,67.0,689.0,20.46875
2020-10,235.0,3132.0,163.0,255.0,2221.0,2152.0,671.0,2225.0,18197.0,2801.0,1889.0,350.0,225.0,830.0,3806.0,249.0,46.0,125.0,1115.0,6.0
2020-11,156.0,3808.0,245.0,289.0,3873.0,2527.0,793.0,2719.0,21722.0,2378.0,1972.0,437.0,119.0,628.0,3610.0,361.0,141.0,104.0,1228.0,1.0
2020-12,221.0,3896.0,353.0,308.0,4181.0,2427.0,754.0,2435.0,23844.0,2341.0,1864.0,584.0,221.0,658.0,6650.0,389.0,160.0,101.0,1498.0,2.0
2021-01,154.0,3345.0,270.0,270.0,4244.0,2213.0,628.0,1192.0,21027.0,2711.0,1457.0,395.0,316.0,645.0,4628.0,342.0,129.0,93.0,1290.0,1.0
2021-02,157.0,3028.0,322.0,394.0,5178.0,1789.0,575.0,930.0,20025.0,3633.0,2167.0,604.0,328.0,670.0,6526.0,618.0,89.0,140.0,1309.0,1.0
2021-03,207.0,1819.0,173.0,191.0,1651.0,1637.0,737.0,946.0,12501.0,1896.0,1107.0,329.0,122.0,694.0,1958.0,187.0,64.0,67.0,966.0,1.0
2021-04,187.0,2004.0,203.0,168.0,1370.0,1880.0,715.0,1130.0,11386.0,2025.0,1295.0,425.0,121.0,583.0,1703.0,108.0,57.0,58.0,962.0,2.0
2021-05,199.0,2229.0,202.0,215.0,1497.0,1876.0,577.0,1095.0,11755.0,2921.0,1653.0,371.0,130.0,556.0,2530.0,124.0,67.0,83.0,1274.0,20.46875
2021-06,210.0,2496.0,310.0,213.0,2543.0,2003.0,519.0,1043.0,16683.0,2697.0,1980.0,394.0,239.0,671.0,2964.0,294.0,88.0,92.0,1738.0,3.0
2021-07,193.0,2104.0,282.0,250.0,2225.0,1605.0,531.0,921.0,13806.0,2163.0,2010.0,132.0,187.0,632.0,1979.0,195.0,106.0,80.0,1411.0,20.46875
2021-08,207.0,2464.0,237.0,211.0,2080.0,1604.0,702.0,1812.0,15128.0,2028.0,2047.0,201.0,137.0,648.0,2148.0,284.0,99.0,68.0,1571.0,3.0
2021-09,164.0,2793.0,276.0,283.0,2253.0,1807.0,786.0,2213.0,19272.0,2315.0,1991.0,234.0,137.0,782.0,2350.0,292.0,79.0,81.0,1317.0,55.0
2021-10,154.0,2301.0,266.0,210.0,2134.0,1561.0,828.0,2098.0,20230.0,1985.0,2041.0,159.0,127.0,1299.0,2376.0,295.0,94.0,79.0,1544.0,166.0
2021-11,152.0,2817.0,288.0,286.0,2534.0,2046.0,1201.0,2835.0,24946.0,1553.0,2162.0,231.0,110.0,1343.0,2776.0,455.0,198.0,130.0,1501.0,39.0
2021-12,191.0,3142.0,378.0,316.0,4901.0,2031.0,1114.0,2848.0,26455.0,1584.0,2329.0,551.0,147.0,2054.0,5338.0,286.0,172.0,139.0,2572.0,356.0
2022-01,108.0,1942.0,258.0,236.0,2129.0,1525.0,695.0,1994.0,17845.0,1554.0,2252.0,177.0,69.0,1223.0,3000.0,295.0,197.0,109.0,1013.0,166.0
